iterations,1,2,3,4
cell,"('status', 'runtime', 'area', 'cell')","('status', 'runtime', 'area', 'cell')","('status', 'runtime', 'area', 'cell')","('status', 'runtime', 'area', 'cell')"
(0X1),"('SAT', 4.267876863479614, 37.544, (0, 1))","('SAT', 3.8326914310455322, 37.544, (2, 2))","('SAT', 4.052549123764038, 37.544, (2, 2))","('SAT', 4.073162317276001, 37.544, (2, 2))"
(1X1),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(2X1),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(3X1),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(4X1),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(1X2),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(2X2),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(3X2),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(1X3),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(2X3),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(3X3),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(4X3),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(1X4),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(2X4),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(3X4),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
(4X4),"('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))","('Unexplored', None, None, (-1, -1))"
