iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.10322785377502441, -1, -1, -1, (0, 1))","('UNSAT', 0.09125876426696777, -1, -1, -1, (0, 1))","('UNSAT', 0.09021234512329102, -1, -1, -1, (0, 1))","('UNSAT', 0.10319995880126953, -1, -1, -1, (0, 1))","('UNSAT', 0.0904226303100586, -1, -1, -1, (0, 1))","('UNSAT', 0.10288882255554199, -1, -1, -1, (0, 1))","('UNSAT', 0.08900260925292969, -1, -1, -1, (0, 1))","('UNSAT', 0.10119009017944336, -1, -1, -1, (0, 1))","('UNSAT', 0.09130620956420898, -1, -1, -1, (0, 1))","('UNSAT', 0.10113072395324707, -1, -1, -1, (0, 1))","('UNSAT', 0.09134221076965332, -1, -1, -1, (0, 1))","('UNSAT', 0.10321664810180664, -1, -1, -1, (0, 1))","('UNSAT', 0.09027266502380371, -1, -1, -1, (0, 1))","('UNSAT', 0.10410618782043457, -1, -1, -1, (0, 1))","('UNSAT', 0.0900263786315918, -1, -1, -1, (0, 1))","('UNSAT', 0.10078573226928711, -1, -1, -1, (0, 1))","('UNSAT', 0.08969712257385254, -1, -1, -1, (0, 1))","('UNSAT', 0.10302162170410156, -1, -1, -1, (0, 1))","('UNSAT', 0.09142398834228516, -1, -1, -1, (0, 1))","('UNSAT', 0.10174179077148438, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.10380101203918457, -1, -1, -1, (1, 1))","('UNSAT', 0.10226559638977051, -1, -1, -1, (1, 1))","('UNSAT', 0.10391473770141602, -1, -1, -1, (1, 1))","('UNSAT', 0.1042470932006836, -1, -1, -1, (1, 1))","('UNSAT', 0.11114239692687988, -1, -1, -1, (1, 1))","('UNSAT', 0.1021730899810791, -1, -1, -1, (1, 1))","('UNSAT', 0.10192108154296875, -1, -1, -1, (1, 1))","('UNSAT', 0.10075902938842773, -1, -1, -1, (1, 1))","('UNSAT', 0.10292887687683105, -1, -1, -1, (1, 1))","('UNSAT', 0.10220456123352051, -1, -1, -1, (1, 1))","('UNSAT', 0.10617971420288086, -1, -1, -1, (1, 1))","('UNSAT', 0.10382246971130371, -1, -1, -1, (1, 1))","('UNSAT', 0.10254025459289551, -1, -1, -1, (1, 1))","('UNSAT', 0.10526609420776367, -1, -1, -1, (1, 1))","('UNSAT', 0.1028604507446289, -1, -1, -1, (1, 1))","('UNSAT', 0.10111117362976074, -1, -1, -1, (1, 1))","('UNSAT', 0.10394692420959473, -1, -1, -1, (1, 1))","('UNSAT', 0.10123991966247559, -1, -1, -1, (1, 1))","('UNSAT', 0.10234212875366211, -1, -1, -1, (1, 1))","('UNSAT', 0.1016533374786377, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.10404181480407715, -1, -1, -1, (2, 1))","('UNSAT', 0.12507343292236328, -1, -1, -1, (2, 1))","('UNSAT', 0.12528181076049805, -1, -1, -1, (2, 1))","('UNSAT', 0.10368585586547852, -1, -1, -1, (2, 1))","('UNSAT', 0.12179684638977051, -1, -1, -1, (2, 1))","('UNSAT', 0.1025094985961914, -1, -1, -1, (2, 1))","('UNSAT', 0.12177228927612305, -1, -1, -1, (2, 1))","('UNSAT', 0.10048055648803711, -1, -1, -1, (2, 1))","('UNSAT', 0.12241339683532715, -1, -1, -1, (2, 1))","('UNSAT', 0.10100650787353516, -1, -1, -1, (2, 1))","('UNSAT', 0.12709426879882812, -1, -1, -1, (2, 1))","('UNSAT', 0.1045382022857666, -1, -1, -1, (2, 1))","('UNSAT', 0.1224057674407959, -1, -1, -1, (2, 1))","('UNSAT', 0.10507440567016602, -1, -1, -1, (2, 1))","('UNSAT', 0.12099504470825195, -1, -1, -1, (2, 1))","('UNSAT', 0.10097289085388184, -1, -1, -1, (2, 1))","('UNSAT', 0.12006115913391113, -1, -1, -1, (2, 1))","('UNSAT', 0.10337662696838379, -1, -1, -1, (2, 1))","('UNSAT', 0.12017703056335449, -1, -1, -1, (2, 1))","('UNSAT', 0.10220956802368164, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.10430908203125, -1, -1, -1, (3, 1))","('UNSAT', 0.1284503936767578, -1, -1, -1, (3, 1))","('UNSAT', 0.12579703330993652, -1, -1, -1, (3, 1))","('UNSAT', 0.10338091850280762, -1, -1, -1, (3, 1))","('UNSAT', 0.11980533599853516, -1, -1, -1, (3, 1))","('UNSAT', 0.10963749885559082, -1, -1, -1, (3, 1))","('UNSAT', 0.12187385559082031, -1, -1, -1, (3, 1))","('UNSAT', 0.10169839859008789, -1, -1, -1, (3, 1))","('UNSAT', 0.12005496025085449, -1, -1, -1, (3, 1))","('UNSAT', 0.10125231742858887, -1, -1, -1, (3, 1))","('UNSAT', 0.12665700912475586, -1, -1, -1, (3, 1))","('UNSAT', 0.103179931640625, -1, -1, -1, (3, 1))","('UNSAT', 0.12218832969665527, -1, -1, -1, (3, 1))","('UNSAT', 0.1049795150756836, -1, -1, -1, (3, 1))","('UNSAT', 0.12346220016479492, -1, -1, -1, (3, 1))","('UNSAT', 0.10639524459838867, -1, -1, -1, (3, 1))","('UNSAT', 0.12027835845947266, -1, -1, -1, (3, 1))","('UNSAT', 0.10094594955444336, -1, -1, -1, (3, 1))","('UNSAT', 0.1248016357421875, -1, -1, -1, (3, 1))","('UNSAT', 0.10181951522827148, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.10429024696350098, -1, -1, -1, (4, 1))","('UNSAT', 0.12564992904663086, -1, -1, -1, (4, 1))","('UNSAT', 0.12286019325256348, -1, -1, -1, (4, 1))","('UNSAT', 0.10364437103271484, -1, -1, -1, (4, 1))","('UNSAT', 0.12648367881774902, -1, -1, -1, (4, 1))","('UNSAT', 0.10479927062988281, -1, -1, -1, (4, 1))","('UNSAT', 0.12156844139099121, -1, -1, -1, (4, 1))","('UNSAT', 0.10140061378479004, -1, -1, -1, (4, 1))","('UNSAT', 0.1235342025756836, -1, -1, -1, (4, 1))","('UNSAT', 0.1145486831665039, -1, -1, -1, (4, 1))","('UNSAT', 0.12770962715148926, -1, -1, -1, (4, 1))","('UNSAT', 0.10370492935180664, -1, -1, -1, (4, 1))","('UNSAT', 0.12699675559997559, -1, -1, -1, (4, 1))","('UNSAT', 0.11124467849731445, -1, -1, -1, (4, 1))","('UNSAT', 0.12247109413146973, -1, -1, -1, (4, 1))","('UNSAT', 0.10226702690124512, -1, -1, -1, (4, 1))","('UNSAT', 0.12193512916564941, -1, -1, -1, (4, 1))","('UNSAT', 0.10081911087036133, -1, -1, -1, (4, 1))","('UNSAT', 0.12011861801147461, -1, -1, -1, (4, 1))","('UNSAT', 0.10194230079650879, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.10395145416259766, -1, -1, -1, (5, 1))","('UNSAT', 0.12426996231079102, -1, -1, -1, (5, 1))","('UNSAT', 0.1292409896850586, -1, -1, -1, (5, 1))","('UNSAT', 0.10404539108276367, -1, -1, -1, (5, 1))","('UNSAT', 0.12669801712036133, -1, -1, -1, (5, 1))","('UNSAT', 0.10231804847717285, -1, -1, -1, (5, 1))","('UNSAT', 0.12611126899719238, -1, -1, -1, (5, 1))","('UNSAT', 0.10151076316833496, -1, -1, -1, (5, 1))","('UNSAT', 0.1262655258178711, -1, -1, -1, (5, 1))","('UNSAT', 0.10217785835266113, -1, -1, -1, (5, 1))","('UNSAT', 0.1307082176208496, -1, -1, -1, (5, 1))","('UNSAT', 0.10336804389953613, -1, -1, -1, (5, 1))","('UNSAT', 0.1281108856201172, -1, -1, -1, (5, 1))","('UNSAT', 0.10127520561218262, -1, -1, -1, (5, 1))","('UNSAT', 0.12833452224731445, -1, -1, -1, (5, 1))","('UNSAT', 0.10869979858398438, -1, -1, -1, (5, 1))","('UNSAT', 0.12682080268859863, -1, -1, -1, (5, 1))","('UNSAT', 0.10092639923095703, -1, -1, -1, (5, 1))","('UNSAT', 0.1359081268310547, -1, -1, -1, (5, 1))","('UNSAT', 0.10149383544921875, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.1042933464050293, -1, -1, -1, (6, 1))","('UNSAT', 0.1283400058746338, -1, -1, -1, (6, 1))","('UNSAT', 0.12931299209594727, -1, -1, -1, (6, 1))","('UNSAT', 0.10619282722473145, -1, -1, -1, (6, 1))","('UNSAT', 0.12470507621765137, -1, -1, -1, (6, 1))","('UNSAT', 0.10277700424194336, -1, -1, -1, (6, 1))","('UNSAT', 0.1283283233642578, -1, -1, -1, (6, 1))","('UNSAT', 0.10242938995361328, -1, -1, -1, (6, 1))","('UNSAT', 0.12469267845153809, -1, -1, -1, (6, 1))","('UNSAT', 0.10163402557373047, -1, -1, -1, (6, 1))","('UNSAT', 0.1304309368133545, -1, -1, -1, (6, 1))","('UNSAT', 0.10293936729431152, -1, -1, -1, (6, 1))","('UNSAT', 0.12892889976501465, -1, -1, -1, (6, 1))","('UNSAT', 0.10180044174194336, -1, -1, -1, (6, 1))","('UNSAT', 0.12488985061645508, -1, -1, -1, (6, 1))","('UNSAT', 0.10168004035949707, -1, -1, -1, (6, 1))","('UNSAT', 0.12712931632995605, -1, -1, -1, (6, 1))","('UNSAT', 0.10046601295471191, -1, -1, -1, (6, 1))","('UNSAT', 0.12546491622924805, -1, -1, -1, (6, 1))","('UNSAT', 0.10144352912902832, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 0.10367202758789062, -1, -1, -1, (7, 1))","('UNSAT', 0.12311553955078125, -1, -1, -1, (7, 1))","('UNSAT', 0.12565326690673828, -1, -1, -1, (7, 1))","('UNSAT', 0.10341429710388184, -1, -1, -1, (7, 1))","('UNSAT', 0.12017989158630371, -1, -1, -1, (7, 1))","('UNSAT', 0.10184621810913086, -1, -1, -1, (7, 1))","('UNSAT', 0.1255180835723877, -1, -1, -1, (7, 1))","('UNSAT', 0.10303950309753418, -1, -1, -1, (7, 1))","('UNSAT', 0.11912298202514648, -1, -1, -1, (7, 1))","('UNSAT', 0.10009956359863281, -1, -1, -1, (7, 1))","('UNSAT', 0.12804341316223145, -1, -1, -1, (7, 1))","('UNSAT', 0.1040189266204834, -1, -1, -1, (7, 1))","('UNSAT', 0.12285947799682617, -1, -1, -1, (7, 1))","('UNSAT', 0.1013648509979248, -1, -1, -1, (7, 1))","('UNSAT', 0.1228177547454834, -1, -1, -1, (7, 1))","('UNSAT', 0.1007242202758789, -1, -1, -1, (7, 1))","('UNSAT', 0.12221169471740723, -1, -1, -1, (7, 1))","('UNSAT', 0.09961390495300293, -1, -1, -1, (7, 1))","('UNSAT', 0.12168049812316895, -1, -1, -1, (7, 1))","('UNSAT', 0.10124492645263672, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 0.10414314270019531, -1, -1, -1, (8, 1))","('UNSAT', 0.12977290153503418, -1, -1, -1, (8, 1))","('UNSAT', 0.12576818466186523, -1, -1, -1, (8, 1))","('UNSAT', 0.10355830192565918, -1, -1, -1, (8, 1))","('UNSAT', 0.1269824504852295, -1, -1, -1, (8, 1))","('UNSAT', 0.10227012634277344, -1, -1, -1, (8, 1))","('UNSAT', 0.13350510597229004, -1, -1, -1, (8, 1))","('UNSAT', 0.10193657875061035, -1, -1, -1, (8, 1))","('UNSAT', 0.1232600212097168, -1, -1, -1, (8, 1))","('UNSAT', 0.10152482986450195, -1, -1, -1, (8, 1))","('UNSAT', 0.13006925582885742, -1, -1, -1, (8, 1))","('UNSAT', 0.10522699356079102, -1, -1, -1, (8, 1))","('UNSAT', 0.129197359085083, -1, -1, -1, (8, 1))","('UNSAT', 0.10217738151550293, -1, -1, -1, (8, 1))","('UNSAT', 0.1270735263824463, -1, -1, -1, (8, 1))","('UNSAT', 0.10204291343688965, -1, -1, -1, (8, 1))","('UNSAT', 0.12587404251098633, -1, -1, -1, (8, 1))","('UNSAT', 0.09980344772338867, -1, -1, -1, (8, 1))","('UNSAT', 0.1257185935974121, -1, -1, -1, (8, 1))","('UNSAT', 0.10139632225036621, -1, -1, -1, (8, 1))"
