iterations,1,2,3,4,5,6,7,8
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.01147913932800293, -1, -1, -1, (0, 1))","('UNSAT', 0.011536121368408203, -1, -1, -1, (0, 1))","('UNSAT', 0.011322259902954102, -1, -1, -1, (0, 1))","('UNSAT', 0.011409997940063477, -1, -1, -1, (0, 1))","('UNSAT', 0.011483192443847656, -1, -1, -1, (0, 1))","('UNSAT', 0.011494636535644531, -1, -1, -1, (0, 1))","('UNSAT', 0.011478424072265625, -1, -1, -1, (0, 1))","('UNSAT', 0.011368036270141602, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.014073610305786133, -1, -1, -1, (1, 1))","('UNSAT', 0.014283180236816406, -1, -1, -1, (1, 1))","('UNSAT', 0.014488458633422852, -1, -1, -1, (1, 1))","('UNSAT', 0.017876863479614258, -1, -1, -1, (1, 1))","('UNSAT', 0.01786971092224121, -1, -1, -1, (1, 1))","('UNSAT', 0.017793893814086914, -1, -1, -1, (1, 1))","('UNSAT', 0.014195442199707031, -1, -1, -1, (1, 1))","('UNSAT', 0.017512083053588867, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.018091440200805664, -1, -1, -1, (2, 1))","('UNSAT', 0.017862796783447266, -1, -1, -1, (2, 1))","('UNSAT', 0.01793527603149414, -1, -1, -1, (2, 1))","('UNSAT', 0.017855405807495117, -1, -1, -1, (2, 1))","('UNSAT', 0.01797771453857422, -1, -1, -1, (2, 1))","('UNSAT', 0.0179140567779541, -1, -1, -1, (2, 1))","('UNSAT', 0.017804861068725586, -1, -1, -1, (2, 1))","('UNSAT', 0.017756938934326172, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.018050193786621094, -1, -1, -1, (3, 1))","('UNSAT', 0.017679214477539062, -1, -1, -1, (3, 1))","('UNSAT', 0.017687082290649414, -1, -1, -1, (3, 1))","('UNSAT', 0.017787933349609375, -1, -1, -1, (3, 1))","('UNSAT', 0.017791032791137695, -1, -1, -1, (3, 1))","('UNSAT', 0.01764202117919922, -1, -1, -1, (3, 1))","('UNSAT', 0.01753401756286621, -1, -1, -1, (3, 1))","('UNSAT', 0.017885684967041016, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.01801896095275879, -1, -1, -1, (4, 1))","('UNSAT', 0.017667293548583984, -1, -1, -1, (4, 1))","('UNSAT', 0.01765918731689453, -1, -1, -1, (4, 1))","('UNSAT', 0.017698049545288086, -1, -1, -1, (4, 1))","('UNSAT', 0.01775813102722168, -1, -1, -1, (4, 1))","('UNSAT', 0.017710447311401367, -1, -1, -1, (4, 1))","('UNSAT', 0.017707347869873047, -1, -1, -1, (4, 1))","('UNSAT', 0.017492055892944336, -1, -1, -1, (4, 1))"
(1X2),"('UNSAT', 0.01796722412109375, -1, -1, -1, (1, 2))","('UNSAT', 0.018153667449951172, -1, -1, -1, (1, 2))","('UNSAT', 0.01833486557006836, -1, -1, -1, (1, 2))","('UNSAT', 0.01837778091430664, -1, -1, -1, (1, 2))","('UNSAT', 0.018393278121948242, -1, -1, -1, (1, 2))","('UNSAT', 0.018453598022460938, -1, -1, -1, (1, 2))","('UNSAT', 0.01835322380065918, -1, -1, -1, (1, 2))","('UNSAT', 0.018225669860839844, -1, -1, -1, (1, 2))"
(2X2),"('SAT', 0.04272031784057617, 17.3641, 0.116687, 3.581168812161e-06, (2, 2))","('SAT', 0.0426640510559082, 17.3641, 0.116779, 3.581136979847e-06, (2, 2))","('SAT', 0.04281139373779297, 17.3641, 0.116779, 3.581136979847e-06, (2, 2))","('SAT', 0.04348921775817871, 17.3641, 0.116779, 3.581136979847e-06, (2, 2))","('SAT', 0.042829036712646484, 17.3641, 0.116779, 3.581136979847e-06, (2, 2))","('SAT', 0.043503522872924805, 17.3641, 0.116779, 3.581136979847e-06, (2, 2))","('SAT', 0.04351234436035156, 17.3641, 0.116779, 3.581136979847e-06, (2, 2))","('SAT', 0.042963504791259766, 17.3641, 0.116779, 3.581136979847e-06, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
