iterations,1,2,3,4,5,6,7,8
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 0.047296762466430664, 17.8334, 0.11319, 6.719492375850999e-06, (0, 1))","('UNSAT', 0.018979549407958984, -1, -1, -1, (0, 1))","('UNSAT', 0.019332170486450195, -1, -1, -1, (0, 1))","('UNSAT', 0.018950462341308594, -1, -1, -1, (0, 1))","('UNSAT', 0.01997852325439453, -1, -1, -1, (0, 1))","('UNSAT', 0.019266366958618164, -1, -1, -1, (0, 1))","('UNSAT', 0.018913984298706055, -1, -1, -1, (0, 1))","('UNSAT', 0.019142627716064453, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.019047975540161133, -1, -1, -1, (1, 1))","('UNSAT', 0.01912999153137207, -1, -1, -1, (1, 1))","('UNSAT', 0.019016265869140625, -1, -1, -1, (1, 1))","('UNSAT', 0.020485401153564453, -1, -1, -1, (1, 1))","('UNSAT', 0.018958091735839844, -1, -1, -1, (1, 1))","('UNSAT', 0.019072771072387695, -1, -1, -1, (1, 1))","('UNSAT', 0.018908023834228516, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.018878698348999023, -1, -1, -1, (2, 1))","('UNSAT', 0.0191805362701416, -1, -1, -1, (2, 1))","('UNSAT', 0.018825054168701172, -1, -1, -1, (2, 1))","('UNSAT', 0.01895761489868164, -1, -1, -1, (2, 1))","('UNSAT', 0.018862009048461914, -1, -1, -1, (2, 1))","('UNSAT', 0.01888132095336914, -1, -1, -1, (2, 1))","('UNSAT', 0.01879262924194336, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.01908087730407715, -1, -1, -1, (3, 1))","('UNSAT', 0.019124984741210938, -1, -1, -1, (3, 1))","('UNSAT', 0.019078731536865234, -1, -1, -1, (3, 1))","('UNSAT', 0.01885223388671875, -1, -1, -1, (3, 1))","('UNSAT', 0.019011259078979492, -1, -1, -1, (3, 1))","('UNSAT', 0.019051074981689453, -1, -1, -1, (3, 1))","('UNSAT', 0.018848896026611328, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.018949508666992188, -1, -1, -1, (4, 1))","('UNSAT', 0.019146203994750977, -1, -1, -1, (4, 1))","('UNSAT', 0.019163131713867188, -1, -1, -1, (4, 1))","('UNSAT', 0.018886566162109375, -1, -1, -1, (4, 1))","('UNSAT', 0.018976926803588867, -1, -1, -1, (4, 1))","('UNSAT', 0.02040553092956543, -1, -1, -1, (4, 1))","('UNSAT', 0.018747568130493164, -1, -1, -1, (4, 1))"
(1X2),"('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.020028114318847656, -1, -1, -1, (1, 2))","('UNSAT', 0.020409822463989258, -1, -1, -1, (1, 2))","('UNSAT', 0.020286083221435547, -1, -1, -1, (1, 2))","('UNSAT', 0.020254135131835938, -1, -1, -1, (1, 2))","('UNSAT', 0.020402193069458008, -1, -1, -1, (1, 2))","('UNSAT', 0.020920515060424805, -1, -1, -1, (1, 2))","('UNSAT', 0.020475387573242188, -1, -1, -1, (1, 2))"
(2X2),"('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.048378944396972656, 17.8334, 0.11319, 6.719492375850999e-06, (2, 2))","('SAT', 0.05516242980957031, 17.8334, 0.11319, 6.719492375850999e-06, (2, 2))","('SAT', 0.048624277114868164, 17.8334, 0.11319, 6.719492375850999e-06, (2, 2))","('SAT', 0.04855060577392578, 17.8334, 0.11319, 6.719492375850999e-06, (2, 2))","('SAT', 0.048270463943481445, 17.8334, 0.11319, 6.719492375850999e-06, (2, 2))","('SAT', 0.04902029037475586, 17.8334, 0.11319, 6.719492375850999e-06, (2, 2))","('SAT', 0.048523902893066406, 17.8334, 0.11319, 6.719492375850999e-06, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
