iterations,1,2,3,4,5,6,7,8
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.012566328048706055, -1, -1, -1, (0, 1))","('UNSAT', 0.012596368789672852, -1, -1, -1, (0, 1))","('UNSAT', 0.012582540512084961, -1, -1, -1, (0, 1))","('UNSAT', 0.01255941390991211, -1, -1, -1, (0, 1))","('UNSAT', 0.012889623641967773, -1, -1, -1, (0, 1))","('UNSAT', 0.012563467025756836, -1, -1, -1, (0, 1))","('UNSAT', 0.01264810562133789, -1, -1, -1, (0, 1))","('UNSAT', 0.012619495391845703, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.02030181884765625, -1, -1, -1, (1, 1))","('UNSAT', 0.026704788208007812, -1, -1, -1, (1, 1))","('UNSAT', 0.0170137882232666, -1, -1, -1, (1, 1))","('UNSAT', 0.02025580406188965, -1, -1, -1, (1, 1))","('UNSAT', 0.031443119049072266, -1, -1, -1, (1, 1))","('UNSAT', 0.03081202507019043, -1, -1, -1, (1, 1))","('UNSAT', 0.029448986053466797, -1, -1, -1, (1, 1))","('UNSAT', 0.029865741729736328, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.03103351593017578, -1, -1, -1, (2, 1))","('UNSAT', 0.03149056434631348, -1, -1, -1, (2, 1))","('UNSAT', 0.02035808563232422, -1, -1, -1, (2, 1))","('SAT', 0.04751181602478027, 15.0176, 0.071329, 2.815395646394e-06, (2, 1))","('UNSAT', 0.03375101089477539, -1, -1, -1, (2, 1))","('UNSAT', 0.032427310943603516, -1, -1, -1, (2, 1))","('UNSAT', 0.03188204765319824, -1, -1, -1, (2, 1))","('UNSAT', 0.0323636531829834, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.03125786781311035, -1, -1, -1, (3, 1))","('UNSAT', 0.03172039985656738, -1, -1, -1, (3, 1))","('UNSAT', 0.026166677474975586, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03231406211853027, -1, -1, -1, (3, 1))","('UNSAT', 0.02729654312133789, -1, -1, -1, (3, 1))","('UNSAT', 0.03201580047607422, -1, -1, -1, (3, 1))","('UNSAT', 0.03179669380187988, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.0317082405090332, -1, -1, -1, (4, 1))","('UNSAT', 0.03169512748718262, -1, -1, -1, (4, 1))","('UNSAT', 0.026067018508911133, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03215742111206055, -1, -1, -1, (4, 1))","('UNSAT', 0.02745985984802246, -1, -1, -1, (4, 1))","('UNSAT', 0.03179025650024414, -1, -1, -1, (4, 1))","('UNSAT', 0.03158378601074219, -1, -1, -1, (4, 1))"
(1X2),"('UNSAT', 0.029497623443603516, -1, -1, -1, (1, 2))","('UNSAT', 0.028512001037597656, -1, -1, -1, (1, 2))","('UNSAT', 0.018767356872558594, -1, -1, -1, (1, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.03208422660827637, -1, -1, -1, (1, 2))","('UNSAT', 0.033893585205078125, -1, -1, -1, (1, 2))","('UNSAT', 0.03221535682678223, -1, -1, -1, (1, 2))","('UNSAT', 0.017415761947631836, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.035073041915893555, -1, -1, -1, (2, 2))","('UNSAT', 0.031173229217529297, -1, -1, -1, (2, 2))","('UNSAT', 0.034925222396850586, -1, -1, -1, (2, 2))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.036314964294433594, -1, -1, -1, (2, 2))","('UNSAT', 0.03548741340637207, -1, -1, -1, (2, 2))","('UNSAT', 0.034453630447387695, -1, -1, -1, (2, 2))","('UNSAT', 0.03496074676513672, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 0.03601408004760742, -1, -1, -1, (3, 2))","('UNSAT', 0.031913042068481445, -1, -1, -1, (3, 2))","('UNSAT', 0.03676104545593262, -1, -1, -1, (3, 2))","('Unexplored', None, None, None, None, (-1, -1))","('SAT', 0.0533757209777832, 19.7106, 0.071329, 4.2573324208209996e-06, (3, 2))","('SAT', 0.054763078689575195, 17.3641, 0.071329, 3.038275963263e-06, (3, 2))","('SAT', 0.05211639404296875, 16.8948, 0.071329, 3.0072226309129998e-06, (3, 2))","('SAT', 0.05233335494995117, 20.6492, 0.057815, 3.4505014809839996e-06, (3, 2))"
(4X2),"('UNSAT', 0.03629779815673828, -1, -1, -1, (4, 2))","('UNSAT', 0.030696868896484375, -1, -1, -1, (4, 2))","('UNSAT', 0.03601861000061035, -1, -1, -1, (4, 2))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
