iterations,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('SAT', 5.7600483894348145, 57.2546, 0.324698, 2.0158751794950003e-05, (0, 1))","('SAT', 4.876638889312744, 38.9519, 0.229451, 1.107303887693e-05, (0, 1))","('UNSAT', 0.1709909439086914, -1, -1, -1, (0, 1))","('UNSAT', 0.17713451385498047, -1, -1, -1, (0, 1))","('UNSAT', 0.03465580940246582, -1, -1, -1, (0, 1))","('UNSAT', 0.16997838020324707, -1, -1, -1, (0, 1))","('UNSAT', 0.17297840118408203, -1, -1, -1, (0, 1))","('UNSAT', 0.17153143882751465, -1, -1, -1, (0, 1))","('UNSAT', 0.034410953521728516, -1, -1, -1, (0, 1))","('UNSAT', 0.03370833396911621, -1, -1, -1, (0, 1))","('UNSAT', 0.03253316879272461, -1, -1, -1, (0, 1))","('UNSAT', 0.1689014434814453, -1, -1, -1, (0, 1))","('UNSAT', 0.17757654190063477, -1, -1, -1, (0, 1))","('UNSAT', 0.03518104553222656, -1, -1, -1, (0, 1))","('UNSAT', 0.17325258255004883, -1, -1, -1, (0, 1))","('UNSAT', 0.17220258712768555, -1, -1, -1, (0, 1))"
(1X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4429795742034912, -1, -1, -1, (1, 1))","('UNSAT', 0.4637565612792969, -1, -1, -1, (1, 1))","('UNSAT', 0.5908322334289551, -1, -1, -1, (1, 1))","('UNSAT', 0.45121312141418457, -1, -1, -1, (1, 1))","('UNSAT', 0.4569220542907715, -1, -1, -1, (1, 1))","('UNSAT', 0.45748066902160645, -1, -1, -1, (1, 1))","('UNSAT', 0.5928051471710205, -1, -1, -1, (1, 1))","('UNSAT', 0.5821011066436768, -1, -1, -1, (1, 1))","('UNSAT', 0.5523061752319336, -1, -1, -1, (1, 1))","('UNSAT', 0.4543619155883789, -1, -1, -1, (1, 1))","('UNSAT', 0.4871211051940918, -1, -1, -1, (1, 1))","('UNSAT', 0.5981504917144775, -1, -1, -1, (1, 1))","('UNSAT', 0.4535365104675293, -1, -1, -1, (1, 1))","('UNSAT', 0.4592099189758301, -1, -1, -1, (1, 1))"
(2X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.44005918502807617, -1, -1, -1, (2, 1))","('UNSAT', 0.4583292007446289, -1, -1, -1, (2, 1))","('UNSAT', 0.46834897994995117, -1, -1, -1, (2, 1))","('UNSAT', 0.46713829040527344, -1, -1, -1, (2, 1))","('UNSAT', 0.44907593727111816, -1, -1, -1, (2, 1))","('UNSAT', 0.4562337398529053, -1, -1, -1, (2, 1))","('UNSAT', 0.4717264175415039, -1, -1, -1, (2, 1))","('UNSAT', 0.4687199592590332, -1, -1, -1, (2, 1))","('UNSAT', 0.44391417503356934, -1, -1, -1, (2, 1))","('UNSAT', 0.44418907165527344, -1, -1, -1, (2, 1))","('UNSAT', 0.4766867160797119, -1, -1, -1, (2, 1))","('UNSAT', 0.4788506031036377, -1, -1, -1, (2, 1))","('UNSAT', 0.45824408531188965, -1, -1, -1, (2, 1))","('UNSAT', 0.46099019050598145, -1, -1, -1, (2, 1))"
(3X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4604306221008301, -1, -1, -1, (3, 1))","('UNSAT', 0.46512770652770996, -1, -1, -1, (3, 1))","('UNSAT', 0.47176551818847656, -1, -1, -1, (3, 1))","('UNSAT', 0.4612843990325928, -1, -1, -1, (3, 1))","('UNSAT', 0.4318568706512451, -1, -1, -1, (3, 1))","('UNSAT', 0.451413631439209, -1, -1, -1, (3, 1))","('UNSAT', 0.4600706100463867, -1, -1, -1, (3, 1))","('UNSAT', 0.4600412845611572, -1, -1, -1, (3, 1))","('UNSAT', 0.44530248641967773, -1, -1, -1, (3, 1))","('UNSAT', 0.4413635730743408, -1, -1, -1, (3, 1))","('UNSAT', 0.48643946647644043, -1, -1, -1, (3, 1))","('UNSAT', 0.48194217681884766, -1, -1, -1, (3, 1))","('UNSAT', 0.4657599925994873, -1, -1, -1, (3, 1))","('UNSAT', 0.4507169723510742, -1, -1, -1, (3, 1))"
(4X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.44347715377807617, -1, -1, -1, (4, 1))","('UNSAT', 0.46955037117004395, -1, -1, -1, (4, 1))","('UNSAT', 0.47098207473754883, -1, -1, -1, (4, 1))","('UNSAT', 0.45315051078796387, -1, -1, -1, (4, 1))","('UNSAT', 0.4422464370727539, -1, -1, -1, (4, 1))","('UNSAT', 0.44757962226867676, -1, -1, -1, (4, 1))","('UNSAT', 0.45716381072998047, -1, -1, -1, (4, 1))","('UNSAT', 0.46931958198547363, -1, -1, -1, (4, 1))","('UNSAT', 0.45142459869384766, -1, -1, -1, (4, 1))","('UNSAT', 0.44474077224731445, -1, -1, -1, (4, 1))","('UNSAT', 0.4807760715484619, -1, -1, -1, (4, 1))","('UNSAT', 0.47077059745788574, -1, -1, -1, (4, 1))","('UNSAT', 0.4669773578643799, -1, -1, -1, (4, 1))","('UNSAT', 0.45998334884643555, -1, -1, -1, (4, 1))"
(5X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4452075958251953, -1, -1, -1, (5, 1))","('UNSAT', 0.47095155715942383, -1, -1, -1, (5, 1))","('UNSAT', 0.47408080101013184, -1, -1, -1, (5, 1))","('UNSAT', 0.4612607955932617, -1, -1, -1, (5, 1))","('UNSAT', 0.44912219047546387, -1, -1, -1, (5, 1))","('UNSAT', 0.4616217613220215, -1, -1, -1, (5, 1))","('UNSAT', 0.45968055725097656, -1, -1, -1, (5, 1))","('UNSAT', 0.459822416305542, -1, -1, -1, (5, 1))","('UNSAT', 0.4531822204589844, -1, -1, -1, (5, 1))","('UNSAT', 0.4470069408416748, -1, -1, -1, (5, 1))","('UNSAT', 0.4860260486602783, -1, -1, -1, (5, 1))","('UNSAT', 0.4711644649505615, -1, -1, -1, (5, 1))","('UNSAT', 0.46474266052246094, -1, -1, -1, (5, 1))","('UNSAT', 0.4751300811767578, -1, -1, -1, (5, 1))"
(6X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.45046448707580566, -1, -1, -1, (6, 1))","('UNSAT', 0.47022342681884766, -1, -1, -1, (6, 1))","('UNSAT', 0.4682455062866211, -1, -1, -1, (6, 1))","('UNSAT', 0.45578742027282715, -1, -1, -1, (6, 1))","('UNSAT', 0.46843433380126953, -1, -1, -1, (6, 1))","('UNSAT', 0.4474751949310303, -1, -1, -1, (6, 1))","('UNSAT', 0.44917750358581543, -1, -1, -1, (6, 1))","('UNSAT', 0.46868038177490234, -1, -1, -1, (6, 1))","('UNSAT', 0.4644167423248291, -1, -1, -1, (6, 1))","('UNSAT', 0.4424264430999756, -1, -1, -1, (6, 1))","('UNSAT', 0.49517321586608887, -1, -1, -1, (6, 1))","('UNSAT', 0.4760246276855469, -1, -1, -1, (6, 1))","('UNSAT', 0.47017359733581543, -1, -1, -1, (6, 1))","('UNSAT', 0.4661576747894287, -1, -1, -1, (6, 1))"
(7X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.4443199634552002, -1, -1, -1, (7, 1))","('UNSAT', 0.4662041664123535, -1, -1, -1, (7, 1))","('UNSAT', 0.4649324417114258, -1, -1, -1, (7, 1))","('UNSAT', 0.452913761138916, -1, -1, -1, (7, 1))","('UNSAT', 0.4650423526763916, -1, -1, -1, (7, 1))","('UNSAT', 0.45964980125427246, -1, -1, -1, (7, 1))","('UNSAT', 0.45504164695739746, -1, -1, -1, (7, 1))","('UNSAT', 0.46549558639526367, -1, -1, -1, (7, 1))","('UNSAT', 0.47193002700805664, -1, -1, -1, (7, 1))","('UNSAT', 0.45342469215393066, -1, -1, -1, (7, 1))","('UNSAT', 0.48135828971862793, -1, -1, -1, (7, 1))","('UNSAT', 0.4852283000946045, -1, -1, -1, (7, 1))","('UNSAT', 0.46399712562561035, -1, -1, -1, (7, 1))","('UNSAT', 0.4597439765930176, -1, -1, -1, (7, 1))"
(8X1),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('UNSAT', 0.44319772720336914, -1, -1, -1, (8, 1))","('UNSAT', 0.4605395793914795, -1, -1, -1, (8, 1))","('UNSAT', 0.47330379486083984, -1, -1, -1, (8, 1))","('UNSAT', 0.44744396209716797, -1, -1, -1, (8, 1))","('UNSAT', 0.46306586265563965, -1, -1, -1, (8, 1))","('UNSAT', 0.452927827835083, -1, -1, -1, (8, 1))","('UNSAT', 0.45519423484802246, -1, -1, -1, (8, 1))","('UNSAT', 0.4766731262207031, -1, -1, -1, (8, 1))","('UNSAT', 0.48121213912963867, -1, -1, -1, (8, 1))","('UNSAT', 0.4445688724517822, -1, -1, -1, (8, 1))","('UNSAT', 0.47055530548095703, -1, -1, -1, (8, 1))","('UNSAT', 0.47527074813842773, -1, -1, -1, (8, 1))","('UNSAT', 0.45438075065612793, -1, -1, -1, (8, 1))","('UNSAT', 0.45552492141723633, -1, -1, -1, (8, 1))"
