iterations,1,2,3,4,5,6,7,8
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.01153564453125, -1, -1, -1, (0, 1))","('UNSAT', 0.011981725692749023, -1, -1, -1, (0, 1))","('UNSAT', 0.011858701705932617, -1, -1, -1, (0, 1))","('UNSAT', 0.011885881423950195, -1, -1, -1, (0, 1))","('UNSAT', 0.012986421585083008, -1, -1, -1, (0, 1))","('UNSAT', 0.011315345764160156, -1, -1, -1, (0, 1))","('UNSAT', 0.011144638061523438, -1, -1, -1, (0, 1))","('UNSAT', 0.01175379753112793, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.019183635711669922, -1, -1, -1, (1, 1))","('UNSAT', 0.02105093002319336, -1, -1, -1, (1, 1))","('UNSAT', 0.020323753356933594, -1, -1, -1, (1, 1))","('UNSAT', 0.020316600799560547, -1, -1, -1, (1, 1))","('UNSAT', 0.020657062530517578, -1, -1, -1, (1, 1))","('UNSAT', 0.02093982696533203, -1, -1, -1, (1, 1))","('UNSAT', 0.019340038299560547, -1, -1, -1, (1, 1))","('UNSAT', 0.01986241340637207, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.0226747989654541, -1, -1, -1, (2, 1))","('UNSAT', 0.02110004425048828, -1, -1, -1, (2, 1))","('UNSAT', 0.02036452293395996, -1, -1, -1, (2, 1))","('UNSAT', 0.02025318145751953, -1, -1, -1, (2, 1))","('UNSAT', 0.02066636085510254, -1, -1, -1, (2, 1))","('UNSAT', 0.020378828048706055, -1, -1, -1, (2, 1))","('UNSAT', 0.01956772804260254, -1, -1, -1, (2, 1))","('UNSAT', 0.020006656646728516, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.019295454025268555, -1, -1, -1, (3, 1))","('UNSAT', 0.020511865615844727, -1, -1, -1, (3, 1))","('UNSAT', 0.02032017707824707, -1, -1, -1, (3, 1))","('UNSAT', 0.020227432250976562, -1, -1, -1, (3, 1))","('UNSAT', 0.02032637596130371, -1, -1, -1, (3, 1))","('UNSAT', 0.02053380012512207, -1, -1, -1, (3, 1))","('UNSAT', 0.01982712745666504, -1, -1, -1, (3, 1))","('UNSAT', 0.020193099975585938, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.019290447235107422, -1, -1, -1, (4, 1))","('UNSAT', 0.020348072052001953, -1, -1, -1, (4, 1))","('UNSAT', 0.02082371711730957, -1, -1, -1, (4, 1))","('UNSAT', 0.0203707218170166, -1, -1, -1, (4, 1))","('UNSAT', 0.0203249454498291, -1, -1, -1, (4, 1))","('UNSAT', 0.02031111717224121, -1, -1, -1, (4, 1))","('UNSAT', 0.020403146743774414, -1, -1, -1, (4, 1))","('UNSAT', 0.01985907554626465, -1, -1, -1, (4, 1))"
(1X2),"('UNSAT', 0.027699708938598633, -1, -1, -1, (1, 2))","('SAT', 0.03794527053833008, 4.2237, 0.057028, 6.206687430677e-07, (1, 2))","('SAT', 0.039198875427246094, 4.2237, 0.057028, 6.206687430677e-07, (1, 2))","('SAT', 0.03790688514709473, 4.2237, 0.057028, 6.206687430677e-07, (1, 2))","('SAT', 0.037828922271728516, 4.2237, 0.057028, 6.206687430677e-07, (1, 2))","('SAT', 0.03741908073425293, 4.2237, 0.057028, 6.206687430677e-07, (1, 2))","('SAT', 0.038403987884521484, 4.2237, 0.057028, 6.206687430677e-07, (1, 2))","('SAT', 0.03771042823791504, 4.2237, 0.057028, 6.206687430677e-07, (1, 2))"
(2X2),"('SAT', 0.06552815437316895, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
