iterations,1,2,3,4,5,6,7,8,9,10,11,12
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.01381063461303711, -1, -1, -1, (0, 1))","('UNSAT', 0.022658109664916992, -1, -1, -1, (0, 1))","('UNSAT', 0.03135991096496582, -1, -1, -1, (0, 1))","('UNSAT', 0.014571666717529297, -1, -1, -1, (0, 1))","('UNSAT', 0.013899564743041992, -1, -1, -1, (0, 1))","('UNSAT', 0.014241695404052734, -1, -1, -1, (0, 1))","('UNSAT', 0.013264656066894531, -1, -1, -1, (0, 1))","('UNSAT', 0.014234066009521484, -1, -1, -1, (0, 1))","('UNSAT', 0.01770329475402832, -1, -1, -1, (0, 1))","('UNSAT', 0.016681671142578125, -1, -1, -1, (0, 1))","('UNSAT', 0.01695418357849121, -1, -1, -1, (0, 1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X1),"('UNSAT', 0.01953744888305664, -1, -1, -1, (1, 1))","('UNSAT', 0.047460079193115234, -1, -1, -1, (1, 1))","('UNSAT', 0.03629612922668457, -1, -1, -1, (1, 1))","('UNSAT', 0.020330190658569336, -1, -1, -1, (1, 1))","('UNSAT', 0.014552116394042969, -1, -1, -1, (1, 1))","('UNSAT', 0.019842863082885742, -1, -1, -1, (1, 1))","('UNSAT', 0.02502131462097168, -1, -1, -1, (1, 1))","('UNSAT', 0.02549123764038086, -1, -1, -1, (1, 1))","('UNSAT', 0.03377413749694824, -1, -1, -1, (1, 1))","('UNSAT', 0.02262735366821289, -1, -1, -1, (1, 1))","('UNSAT', 0.03490948677062988, -1, -1, -1, (1, 1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X1),"('UNSAT', 0.028513431549072266, -1, -1, -1, (2, 1))","('UNSAT', 0.07396721839904785, -1, -1, -1, (2, 1))","('UNSAT', 0.06014418601989746, -1, -1, -1, (2, 1))","('UNSAT', 0.027088642120361328, -1, -1, -1, (2, 1))","('UNSAT', 0.03322553634643555, -1, -1, -1, (2, 1))","('UNSAT', 0.0558621883392334, -1, -1, -1, (2, 1))","('UNSAT', 0.029520750045776367, -1, -1, -1, (2, 1))","('UNSAT', 0.02510523796081543, -1, -1, -1, (2, 1))","('UNSAT', 0.04725933074951172, -1, -1, -1, (2, 1))","('UNSAT', 0.029161930084228516, -1, -1, -1, (2, 1))","('UNSAT', 0.029015779495239258, -1, -1, -1, (2, 1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X1),"('UNSAT', 0.031151771545410156, -1, -1, -1, (3, 1))","('UNSAT', 0.07598733901977539, -1, -1, -1, (3, 1))","('UNSAT', 0.061502933502197266, -1, -1, -1, (3, 1))","('UNSAT', 0.0482633113861084, -1, -1, -1, (3, 1))","('UNSAT', 0.03409147262573242, -1, -1, -1, (3, 1))","('UNSAT', 0.028575420379638672, -1, -1, -1, (3, 1))","('UNSAT', 0.05438089370727539, -1, -1, -1, (3, 1))","('UNSAT', 0.03164315223693848, -1, -1, -1, (3, 1))","('UNSAT', 0.04305291175842285, -1, -1, -1, (3, 1))","('UNSAT', 0.04993104934692383, -1, -1, -1, (3, 1))","('UNSAT', 0.04992079734802246, -1, -1, -1, (3, 1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X1),"('UNSAT', 0.02375197410583496, -1, -1, -1, (4, 1))","('UNSAT', 0.07998943328857422, -1, -1, -1, (4, 1))","('UNSAT', 0.05887198448181152, -1, -1, -1, (4, 1))","('UNSAT', 0.056655168533325195, -1, -1, -1, (4, 1))","('UNSAT', 0.03633379936218262, -1, -1, -1, (4, 1))","('UNSAT', 0.05567502975463867, -1, -1, -1, (4, 1))","('UNSAT', 0.02416706085205078, -1, -1, -1, (4, 1))","('UNSAT', 0.044634103775024414, -1, -1, -1, (4, 1))","('UNSAT', 0.03692483901977539, -1, -1, -1, (4, 1))","('UNSAT', 0.017273426055908203, -1, -1, -1, (4, 1))","('UNSAT', 0.017224550247192383, -1, -1, -1, (4, 1))","('Unexplored', None, None, None, None, (-1, -1))"
(5X1),"('UNSAT', 0.041634321212768555, -1, -1, -1, (5, 1))","('UNSAT', 0.05508017539978027, -1, -1, -1, (5, 1))","('UNSAT', 0.07952141761779785, -1, -1, -1, (5, 1))","('UNSAT', 0.057781219482421875, -1, -1, -1, (5, 1))","('UNSAT', 0.02542734146118164, -1, -1, -1, (5, 1))","('UNSAT', 0.057199954986572266, -1, -1, -1, (5, 1))","('UNSAT', 0.023631572723388672, -1, -1, -1, (5, 1))","('UNSAT', 0.041704654693603516, -1, -1, -1, (5, 1))","('UNSAT', 0.05971550941467285, -1, -1, -1, (5, 1))","('UNSAT', 0.01732945442199707, -1, -1, -1, (5, 1))","('UNSAT', 0.017751455307006836, -1, -1, -1, (5, 1))","('Unexplored', None, None, None, None, (-1, -1))"
(6X1),"('UNSAT', 0.033243656158447266, -1, -1, -1, (6, 1))","('UNSAT', 0.07656455039978027, -1, -1, -1, (6, 1))","('UNSAT', 0.08685755729675293, -1, -1, -1, (6, 1))","('UNSAT', 0.05617117881774902, -1, -1, -1, (6, 1))","('UNSAT', 0.025449037551879883, -1, -1, -1, (6, 1))","('UNSAT', 0.05774402618408203, -1, -1, -1, (6, 1))","('UNSAT', 0.023035526275634766, -1, -1, -1, (6, 1))","('UNSAT', 0.041786909103393555, -1, -1, -1, (6, 1))","('UNSAT', 0.07033467292785645, -1, -1, -1, (6, 1))","('UNSAT', 0.01722264289855957, -1, -1, -1, (6, 1))","('UNSAT', 0.017307043075561523, -1, -1, -1, (6, 1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X2),"('UNSAT', 0.04674530029296875, -1, -1, -1, (1, 2))","('UNSAT', 0.10911965370178223, -1, -1, -1, (1, 2))","('UNSAT', 0.08871173858642578, -1, -1, -1, (1, 2))","('UNSAT', 0.051905155181884766, -1, -1, -1, (1, 2))","('UNSAT', 0.03937244415283203, -1, -1, -1, (1, 2))","('UNSAT', 0.06792950630187988, -1, -1, -1, (1, 2))","('UNSAT', 0.01680278778076172, -1, -1, -1, (1, 2))","('UNSAT', 0.028856754302978516, -1, -1, -1, (1, 2))","('UNSAT', 0.04291844367980957, -1, -1, -1, (1, 2))","('UNSAT', 0.033709049224853516, -1, -1, -1, (1, 2))","('UNSAT', 0.033980607986450195, -1, -1, -1, (1, 2))","('Unexplored', None, None, None, None, (-1, -1))"
(2X2),"('UNSAT', 0.11105060577392578, -1, -1, -1, (2, 2))","('UNSAT', 0.29297637939453125, -1, -1, -1, (2, 2))","('UNSAT', 0.22661113739013672, -1, -1, -1, (2, 2))","('UNSAT', 0.08156132698059082, -1, -1, -1, (2, 2))","('UNSAT', 0.10150647163391113, -1, -1, -1, (2, 2))","('UNSAT', 0.10523176193237305, -1, -1, -1, (2, 2))","('UNSAT', 0.05157470703125, -1, -1, -1, (2, 2))","('UNSAT', 0.08153223991394043, -1, -1, -1, (2, 2))","('UNSAT', 0.12269949913024902, -1, -1, -1, (2, 2))","('UNSAT', 0.026654958724975586, -1, -1, -1, (2, 2))","('UNSAT', 0.026722431182861328, -1, -1, -1, (2, 2))","('Unexplored', None, None, None, None, (-1, -1))"
(3X2),"('UNSAT', 0.13689899444580078, -1, -1, -1, (3, 2))","('UNSAT', 0.31934237480163574, -1, -1, -1, (3, 2))","('UNSAT', 0.18507075309753418, -1, -1, -1, (3, 2))","('UNSAT', 0.07763504981994629, -1, -1, -1, (3, 2))","('UNSAT', 0.055403947830200195, -1, -1, -1, (3, 2))","('UNSAT', 0.1045536994934082, -1, -1, -1, (3, 2))","('UNSAT', 0.048909902572631836, -1, -1, -1, (3, 2))","('UNSAT', 0.10654282569885254, -1, -1, -1, (3, 2))","('UNSAT', 0.10650777816772461, -1, -1, -1, (3, 2))","('UNSAT', 0.04833722114562988, -1, -1, -1, (3, 2))","('UNSAT', 0.04493594169616699, -1, -1, -1, (3, 2))","('Unexplored', None, None, None, None, (-1, -1))"
