iterations,1,2,3,4,5,6,7,8
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.013432025909423828, -1, -1, -1, (0, 1))","('UNSAT', 0.010294198989868164, -1, -1, -1, (0, 1))","('UNSAT', 0.010297536849975586, -1, -1, -1, (0, 1))","('UNSAT', 0.010695934295654297, -1, -1, -1, (0, 1))","('UNSAT', 0.009685516357421875, -1, -1, -1, (0, 1))","('UNSAT', 0.01055002212524414, -1, -1, -1, (0, 1))","('UNSAT', 0.010709047317504883, -1, -1, -1, (0, 1))","('UNSAT', 0.009630203247070312, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.016721487045288086, -1, -1, -1, (1, 1))","('UNSAT', 0.020558834075927734, -1, -1, -1, (1, 1))","('UNSAT', 0.01998758316040039, -1, -1, -1, (1, 1))","('UNSAT', 0.022086381912231445, -1, -1, -1, (1, 1))","('UNSAT', 0.020416736602783203, -1, -1, -1, (1, 1))","('UNSAT', 0.02077174186706543, -1, -1, -1, (1, 1))","('UNSAT', 0.020653724670410156, -1, -1, -1, (1, 1))","('UNSAT', 0.02009439468383789, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.017669200897216797, -1, -1, -1, (2, 1))","('UNSAT', 0.020453691482543945, -1, -1, -1, (2, 1))","('UNSAT', 0.020663976669311523, -1, -1, -1, (2, 1))","('UNSAT', 0.02132558822631836, -1, -1, -1, (2, 1))","('UNSAT', 0.020313262939453125, -1, -1, -1, (2, 1))","('UNSAT', 0.019911527633666992, -1, -1, -1, (2, 1))","('UNSAT', 0.020959854125976562, -1, -1, -1, (2, 1))","('UNSAT', 0.02042841911315918, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.016984224319458008, -1, -1, -1, (3, 1))","('UNSAT', 0.020504236221313477, -1, -1, -1, (3, 1))","('UNSAT', 0.02072286605834961, -1, -1, -1, (3, 1))","('UNSAT', 0.02078390121459961, -1, -1, -1, (3, 1))","('UNSAT', 0.02048468589782715, -1, -1, -1, (3, 1))","('UNSAT', 0.02035355567932129, -1, -1, -1, (3, 1))","('UNSAT', 0.020153284072875977, -1, -1, -1, (3, 1))","('UNSAT', 0.020030498504638672, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.016721487045288086, -1, -1, -1, (4, 1))","('UNSAT', 0.020339012145996094, -1, -1, -1, (4, 1))","('UNSAT', 0.020478248596191406, -1, -1, -1, (4, 1))","('UNSAT', 0.02048516273498535, -1, -1, -1, (4, 1))","('UNSAT', 0.020546436309814453, -1, -1, -1, (4, 1))","('UNSAT', 0.020589590072631836, -1, -1, -1, (4, 1))","('UNSAT', 0.020500659942626953, -1, -1, -1, (4, 1))","('UNSAT', 0.020423412322998047, -1, -1, -1, (4, 1))"
(1X2),"('UNSAT', 0.02184915542602539, -1, -1, -1, (1, 2))","('UNSAT', 0.018910646438598633, -1, -1, -1, (1, 2))","('UNSAT', 0.018285512924194336, -1, -1, -1, (1, 2))","('UNSAT', 0.019444704055786133, -1, -1, -1, (1, 2))","('UNSAT', 0.01882147789001465, -1, -1, -1, (1, 2))","('UNSAT', 0.01967334747314453, -1, -1, -1, (1, 2))","('UNSAT', 0.019267559051513672, -1, -1, -1, (1, 2))","('UNSAT', 0.018493175506591797, -1, -1, -1, (1, 2))"
(2X2),"('SAT', -1, 7.5088, 0.049381, 1.2467749002099999e-06, (2, 2))","('SAT', -1, 6.1009, 0.065265, 1.767579306033e-06, (2, 2))","('SAT', -1, 6.1009, 0.065265, 1.767579306033e-06, (2, 2))","('SAT', -1, 6.1009, 0.065265, 1.767579306033e-06, (2, 2))","('SAT', -1, 6.1009, 0.065265, 1.767579306033e-06, (2, 2))","('SAT', -1, 6.1009, 0.065265, 1.767579306033e-06, (2, 2))","('SAT', -1, 6.1009, 0.063716, 1.7685221109789999e-06, (2, 2))","('SAT', -1, 6.1009, 0.063716, 1.7685221109789999e-06, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
