iterations,1,2,3,4,5,6,7,8
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')","('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.012175798416137695, -1, -1, -1, (0, 1))","('UNSAT', 0.013831377029418945, -1, -1, -1, (0, 1))","('UNSAT', 0.013849973678588867, -1, -1, -1, (0, 1))","('UNSAT', 0.014192342758178711, -1, -1, -1, (0, 1))","('UNSAT', 0.013933897018432617, -1, -1, -1, (0, 1))","('UNSAT', 0.014073371887207031, -1, -1, -1, (0, 1))","('UNSAT', 0.013463020324707031, -1, -1, -1, (0, 1))","('UNSAT', 0.014686346054077148, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.02142047882080078, -1, -1, -1, (1, 1))","('UNSAT', 0.02216935157775879, -1, -1, -1, (1, 1))","('UNSAT', 0.017925500869750977, -1, -1, -1, (1, 1))","('UNSAT', 0.017488718032836914, -1, -1, -1, (1, 1))","('UNSAT', 0.017635583877563477, -1, -1, -1, (1, 1))","('UNSAT', 0.017613887786865234, -1, -1, -1, (1, 1))","('UNSAT', 0.01787424087524414, -1, -1, -1, (1, 1))","('UNSAT', 0.018229961395263672, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.025709867477416992, -1, -1, -1, (2, 1))","('UNSAT', 0.013902902603149414, -1, -1, -1, (2, 1))","('UNSAT', 0.01328134536743164, -1, -1, -1, (2, 1))","('UNSAT', 0.013974905014038086, -1, -1, -1, (2, 1))","('UNSAT', 0.013813257217407227, -1, -1, -1, (2, 1))","('UNSAT', 0.014140129089355469, -1, -1, -1, (2, 1))","('UNSAT', 0.01444387435913086, -1, -1, -1, (2, 1))","('UNSAT', 0.014183521270751953, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.021961688995361328, -1, -1, -1, (3, 1))","('UNSAT', 0.013798713684082031, -1, -1, -1, (3, 1))","('UNSAT', 0.014026880264282227, -1, -1, -1, (3, 1))","('UNSAT', 0.013933181762695312, -1, -1, -1, (3, 1))","('UNSAT', 0.013685941696166992, -1, -1, -1, (3, 1))","('UNSAT', 0.014116048812866211, -1, -1, -1, (3, 1))","('UNSAT', 0.014032363891601562, -1, -1, -1, (3, 1))","('UNSAT', 0.01409459114074707, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.02127218246459961, -1, -1, -1, (4, 1))","('UNSAT', 0.013860702514648438, -1, -1, -1, (4, 1))","('UNSAT', 0.014369010925292969, -1, -1, -1, (4, 1))","('UNSAT', 0.014426469802856445, -1, -1, -1, (4, 1))","('UNSAT', 0.014127731323242188, -1, -1, -1, (4, 1))","('UNSAT', 0.013994455337524414, -1, -1, -1, (4, 1))","('UNSAT', 0.013957500457763672, -1, -1, -1, (4, 1))","('UNSAT', 0.01415395736694336, -1, -1, -1, (4, 1))"
(1X2),"('UNSAT', 0.03014969825744629, -1, -1, -1, (1, 2))","('UNSAT', 0.014459609985351562, -1, -1, -1, (1, 2))","('UNSAT', 0.015655040740966797, -1, -1, -1, (1, 2))","('UNSAT', 0.014574050903320312, -1, -1, -1, (1, 2))","('UNSAT', 0.014231204986572266, -1, -1, -1, (1, 2))","('UNSAT', 0.015174150466918945, -1, -1, -1, (1, 2))","('UNSAT', 0.015121221542358398, -1, -1, -1, (1, 2))","('UNSAT', 0.015484333038330078, -1, -1, -1, (1, 2))"
(2X2),"('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))","('SAT', -1, 4.2237, 0.057028, 6.206687430677e-07, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(1X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(2X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(3X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
(4X4),"('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))","('Unexplored', None, None, None, None, (-1, -1))"
