iterations,1
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.01942133903503418, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.019835472106933594, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.019780874252319336, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.0276792049407959, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.02770709991455078, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.027940988540649414, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.028230905532836914, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 0.026683568954467773, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 0.0272524356842041, -1, -1, -1, (8, 1))"
(1X2),"('UNSAT', 0.0411992073059082, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.039138078689575195, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 0.043271541595458984, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.046398162841796875, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.05657362937927246, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.05220437049865723, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 0.028217077255249023, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 0.055822134017944336, -1, -1, -1, (8, 2))"
(1X3),"('UNSAT', 0.13196229934692383, -1, -1, -1, (1, 3))"
(2X3),"('UNSAT', 0.10105133056640625, -1, -1, -1, (2, 3))"
(3X3),"('UNSAT', 0.08391714096069336, -1, -1, -1, (3, 3))"
(4X3),"('UNSAT', 0.11538052558898926, -1, -1, -1, (4, 3))"
(5X3),"('UNSAT', 0.13720297813415527, -1, -1, -1, (5, 3))"
(6X3),"('UNSAT', 0.11036086082458496, -1, -1, -1, (6, 3))"
(7X3),"('UNSAT', 0.1252295970916748, -1, -1, -1, (7, 3))"
(8X3),"('UNSAT', 0.10953783988952637, -1, -1, -1, (8, 3))"
(1X4),"('UNSAT', 0.12973356246948242, -1, -1, -1, (1, 4))"
(2X4),"('UNSAT', 0.19128179550170898, -1, -1, -1, (2, 4))"
(3X4),"('UNSAT', 0.23642826080322266, -1, -1, -1, (3, 4))"
(4X4),"('UNSAT', 0.17771148681640625, -1, -1, -1, (4, 4))"
(5X4),"('UNSAT', 0.506446361541748, -1, -1, -1, (5, 4))"
(6X4),"('UNSAT', 0.23809051513671875, -1, -1, -1, (6, 4))"
