iterations,1
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.02553248405456543, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.039290428161621094, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.06789922714233398, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.03962516784667969, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.03802919387817383, -1, -1, -1, (4, 1))"
(5X1),"('UNSAT', 0.0808408260345459, -1, -1, -1, (5, 1))"
(6X1),"('UNSAT', 0.03679180145263672, -1, -1, -1, (6, 1))"
(7X1),"('UNSAT', 0.03857827186584473, -1, -1, -1, (7, 1))"
(8X1),"('UNSAT', 0.04044461250305176, -1, -1, -1, (8, 1))"
(1X2),"('UNSAT', 0.09288930892944336, -1, -1, -1, (1, 2))"
(2X2),"('UNSAT', 0.12819242477416992, -1, -1, -1, (2, 2))"
(3X2),"('UNSAT', 0.30956602096557617, -1, -1, -1, (3, 2))"
(4X2),"('UNSAT', 0.16443133354187012, -1, -1, -1, (4, 2))"
(5X2),"('UNSAT', 0.308574914932251, -1, -1, -1, (5, 2))"
(6X2),"('UNSAT', 0.19338035583496094, -1, -1, -1, (6, 2))"
(7X2),"('UNSAT', 0.17235398292541504, -1, -1, -1, (7, 2))"
(8X2),"('UNSAT', 0.20032167434692383, -1, -1, -1, (8, 2))"
(1X3),"('UNSAT', 0.15339279174804688, -1, -1, -1, (1, 3))"
(2X3),"('UNSAT', 0.2509446144104004, -1, -1, -1, (2, 3))"
(3X3),"('UNSAT', 0.512030839920044, -1, -1, -1, (3, 3))"
(4X3),"('UNSAT', 1.0881297588348389, -1, -1, -1, (4, 3))"
(5X3),"('UNSAT', 0.6964068412780762, -1, -1, -1, (5, 3))"
(6X3),"('UNSAT', 1.7136552333831787, -1, -1, -1, (6, 3))"
(7X3),"('UNSAT', 1.055528163909912, -1, -1, -1, (7, 3))"
(8X3),"('UNSAT', 0.6928253173828125, -1, -1, -1, (8, 3))"
(1X4),"('UNSAT', 0.31093597412109375, -1, -1, -1, (1, 4))"
(2X4),"('UNSAT', 0.6271011829376221, -1, -1, -1, (2, 4))"
(3X4),"('UNSAT', 2.1788692474365234, -1, -1, -1, (3, 4))"
(4X4),"('UNSAT', 3.9060380458831787, -1, -1, -1, (4, 4))"
(5X4),"('UNSAT', 2.842188596725464, -1, -1, -1, (5, 4))"
(6X4),"('UNSAT', 3.317065954208374, -1, -1, -1, (6, 4))"
(7X4),"('UNSAT', 2.489551067352295, -1, -1, -1, (7, 4))"
(8X4),"('UNSAT', 2.1857597827911377, -1, -1, -1, (8, 4))"
(1X5),"('UNSAT', 0.4773526191711426, -1, -1, -1, (1, 5))"
(2X5),"('UNSAT', 2.8062641620635986, -1, -1, -1, (2, 5))"
(3X5),"('UNSAT', 5.190671920776367, -1, -1, -1, (3, 5))"
(4X5),"('UNSAT', 5.763364553451538, -1, -1, -1, (4, 5))"
(5X5),"('UNSAT', 2.9968676567077637, -1, -1, -1, (5, 5))"
(6X5),"('UNSAT', 2.281233310699463, -1, -1, -1, (6, 5))"
(7X5),"('UNSAT', 2.7948966026306152, -1, -1, -1, (7, 5))"
(8X5),"('UNSAT', 35.69331336021423, -1, -1, -1, (8, 5))"
(1X6),"('UNSAT', 0.4478726387023926, -1, -1, -1, (1, 6))"
(2X6),"('UNSAT', 3.2405025959014893, -1, -1, -1, (2, 6))"
(3X6),"('UNSAT', 10.648072957992554, -1, -1, -1, (3, 6))"
(4X6),"('UNSAT', 21.55049157142639, -1, -1, -1, (4, 6))"
(5X6),"('UNSAT', 4.8916943073272705, -1, -1, -1, (5, 6))"
(6X6),"('UNSAT', 21.16700577735901, -1, -1, -1, (6, 6))"
(7X6),"('UNSAT', 10.750372886657715, -1, -1, -1, (7, 6))"
(8X6),"('UNSAT', 21.356991291046143, -1, -1, -1, (8, 6))"
(1X7),"('UNSAT', 0.7252175807952881, -1, -1, -1, (1, 7))"
(2X7),"('UNSAT', 4.849418878555298, -1, -1, -1, (2, 7))"
(3X7),"('UNSAT', 9.439589500427246, -1, -1, -1, (3, 7))"
(4X7),"('UNSAT', 27.426329612731934, -1, -1, -1, (4, 7))"
(5X7),"('UNSAT', 21.252008199691772, -1, -1, -1, (5, 7))"
(6X7),"('UNSAT', 26.075365781784058, -1, -1, -1, (6, 7))"
(7X7),"('UNSAT', 19.592143774032593, -1, -1, -1, (7, 7))"
(8X7),"('UNSAT', 42.889185667037964, -1, -1, -1, (8, 7))"
(1X8),"('UNSAT', 0.9102680683135986, -1, -1, -1, (1, 8))"
(2X8),"('UNSAT', 5.856569766998291, -1, -1, -1, (2, 8))"
(3X8),"('UNSAT', 10.774871826171875, -1, -1, -1, (3, 8))"
(4X8),"('UNSAT', 44.50581693649292, -1, -1, -1, (4, 8))"
(5X8),"('UNSAT', 76.55266308784485, -1, -1, -1, (5, 8))"
(6X8),"('UNSAT', 67.97852206230164, -1, -1, -1, (6, 8))"
(7X8),"('UNSAT', 63.881120681762695, -1, -1, -1, (7, 8))"
(8X8),"('UNSAT', 51.8861300945282, -1, -1, -1, (8, 8))"
