iterations,1
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.012237548828125, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.020296335220336914, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.01607227325439453, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.020833730697631836, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.02052927017211914, -1, -1, -1, (4, 1))"
(1X2),"('UNSAT', 0.02639913558959961, -1, -1, -1, (1, 2))"
(2X2),"('SAT', -1, 10.7939, 0.049381, 2.502513552827e-06, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))"
(1X4),"('Unexplored', None, None, None, None, (-1, -1))"
(2X4),"('Unexplored', None, None, None, None, (-1, -1))"
(3X4),"('Unexplored', None, None, None, None, (-1, -1))"
(4X4),"('Unexplored', None, None, None, None, (-1, -1))"
