iterations,1
cell,"('status', 'runtime', 'area', 'delay', 'total_power', 'cell')"
(0X1),"('UNSAT', 0.013763904571533203, -1, -1, -1, (0, 1))"
(1X1),"('UNSAT', 0.02033829689025879, -1, -1, -1, (1, 1))"
(2X1),"('UNSAT', 0.024263858795166016, -1, -1, -1, (2, 1))"
(3X1),"('UNSAT', 0.01937413215637207, -1, -1, -1, (3, 1))"
(4X1),"('UNSAT', 0.02419900894165039, -1, -1, -1, (4, 1))"
(1X2),"('UNSAT', 0.03310823440551758, -1, -1, -1, (1, 2))"
(2X2),"('SAT', -1, 6.5702, 0.057028, 9.716223985378999e-07, (2, 2))"
(3X2),"('Unexplored', None, None, None, None, (-1, -1))"
(4X2),"('Unexplored', None, None, None, None, (-1, -1))"
(1X3),"('Unexplored', None, None, None, None, (-1, -1))"
(2X3),"('Unexplored', None, None, None, None, (-1, -1))"
(3X3),"('Unexplored', None, None, None, None, (-1, -1))"
(4X3),"('Unexplored', None, None, None, None, (-1, -1))"
(1X4),"('Unexplored', None, None, None, None, (-1, -1))"
(2X4),"('Unexplored', None, None, None, None, (-1, -1))"
(3X4),"('Unexplored', None, None, None, None, (-1, -1))"
(4X4),"('Unexplored', None, None, None, None, (-1, -1))"
