cell,iteration,model_id,status,runtime,area,delay,total_power,et,labeling_time,subgraph_extraction,subgraph_inputs,subgraph_outputs,subxpat_phase1,subxpat_phase2
"(0, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,0.8433191776275635
"(0, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,0.8059971332550049
"(0, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,0.8994665145874023
"(0, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,0.675753116607666
"(0, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,0.7866716384887695
"(0, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.890625
"(0, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.7229926586151123
"(0, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.6498322486877441
"(0, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.7309126853942871
"(0, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,0.7427403926849365
"(0, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.6053030490875244
"(0, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.6048088073730469
"(0, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.5044841766357422
"(0, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.6755146980285645
"(1, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.2085082530975342
"(1, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.1853752136230469
"(1, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.1494426727294922
"(1, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.3739495277404785
"(1, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.1412253379821777
"(1, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,1.686563491821289
"(1, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.7210681438446045
"(1, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.715437650680542
"(1, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.8569920063018799
"(1, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.0169548988342285
"(1, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.8649687767028809
"(1, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,1.096191644668579
"(1, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.7741568088531494
"(1, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.6079747676849365
"(2, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.4497792720794678
"(2, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.2696022987365723
"(2, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.177276611328125
"(2, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.9761602878570557
"(2, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.1150939464569092
"(2, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,1.1001174449920654
"(2, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.7158243656158447
"(2, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.7048726081848145
"(2, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,1.143834114074707
"(2, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.454329490661621
"(2, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.6383264064788818
"(2, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.8864929676055908
"(2, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.893709659576416
"(2, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.5894279479980469
"(3, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.5590555667877197
"(3, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.2936201095581055
"(3, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.4691240787506104
"(3, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.2917890548706055
"(3, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.1207902431488037
"(3, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.9995653629302979
"(3, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.6329724788665771
"(3, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.5716142654418945
"(3, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,1.3864474296569824
"(3, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.1498973369598389
"(3, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.6341342926025391
"(3, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.7030491828918457
"(3, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.6533865928649902
"(3, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,0.6046595573425293
"(4, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.4552879333496094
"(4, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.3808798789978027
"(4, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.4086213111877441
"(4, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.121077299118042
"(4, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.175788164138794
"(4, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.8184332847595215
"(4, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.6644847393035889
"(4, 1)",8,0,UNSAT,,,,,36,-1,1.9346847534179688,4,2,-1,-1,0.6495485305786133
"(4, 1)",9,0,UNSAT,,,,,48,-1,1.9921150207519531,4,2,-1,-1,0.6028304100036621
"(4, 1)",10,0,UNSAT,,,,,48,-1,1.7043352127075195,4,2,-1,-1,1.1633672714233398
"(4, 1)",11,0,UNSAT,,,,,60,-1,1.5228307247161865,4,2,-1,-1,0.9601321220397949
"(4, 1)",12,0,UNSAT,,,,,60,-1,1.6480717658996582,4,2,-1,-1,0.7248785495758057
"(4, 1)",13,0,UNSAT,,,,,60,-1,1.1809442043304443,4,2,-1,-1,0.6423556804656982
"(4, 1)",14,0,UNSAT,,,,,72,-1,0.9961094856262207,4,2,-1,-1,2.508575916290283
"(5, 1)",1,0,UNSAT,,,,,12,-1,2.535367488861084,4,2,-1,-1,1.5679078102111816
"(5, 1)",2,0,UNSAT,,,,,12,-1,2.5608110427856445,4,1,-1,-1,1.2918379306793213
"(5, 1)",3,0,UNSAT,,,,,24,-1,2.4032795429229736,4,2,-1,-1,1.2092924118041992
"(5, 1)",4,0,UNSAT,,,,,24,-1,2.2934675216674805,4,2,-1,-1,1.1341829299926758
"(5, 1)",5,0,UNSAT,,,,,24,-1,2.21925687789917,4,1,-1,-1,1.2060770988464355
"(5, 1)",6,0,UNSAT,,,,,36,-1,2.264244318008423,4,2,-1,-1,0.8323256969451904
"(5, 1)",7,0,UNSAT,,,,,36,-1,1.857712984085083,4,2,-1,-1,0.6784732341766357
